[12.960050,38.880150]
[22.427000,67.281000]
[11.537350,34.612050]
[19.970450,59.911350]
[23.051900,69.155700]
[51.461500,154.384500]
[0.164875,0.494623]
[0.905155,2.715465]
[2.519410,7.558230]
[0.265218,0.795654]
[4.453720,13.361160]
[2.322945,6.968835]
[0.625495,1.876485]
[0.698100,2.094300]
[1.467605,4.402815]
[0.022829,0.068486]
[0.054036,0.162108]
[0.011764,0.035293]
[0.302634,0.907902]
[0.022745,0.068234]
[3.636075,10.908225]
[3.463430,10.390290]
[0.065098,0.195294]
[3.299620,9.898860]
[0.152088,0.456264]
[0.081196,0.243588]
[3.485830,10.457490]
[0.127516,0.382548]
[0.006026,0.018079]
[5.487050,16.461150]
[3.077225,9.231675]
[1.455045,4.365135]
[0.140431,0.421294]
[0.004434,0.013301]
[0.003133,0.009399]
[2.652795,7.958385]
[0.082130,0.246390]
[4.631550,13.894650]
[0.321543,0.964629]
[0.013454,0.040362]
[4.818510,14.455530]
[0.007626,0.022877]
[0.297305,0.891914]
[2.632505,7.897515]
[0.263726,0.791179]
[1.227920,3.683760]
[0.145714,0.437144]
[0.102906,0.308719]
[0.198196,0.594588]
[0.303694,0.911080]
[0.006500,0.019500]
[0.322301,0.966903]
[0.031289,0.093867]
[1.675315,5.025945]
[1.768500,5.305500]
[0.087455,0.262365]
[0.240948,0.722843]
[0.184747,0.554239]
[0.383481,1.150443]
[0.294460,0.883380]
[0.201712,0.605137]
[0.227772,0.683316]
[0.009400,0.028200]
[0.012583,0.037748]
[0.174415,0.523243]
[0.035016,0.105048]
[0.824380,2.473140]
[0.258651,0.775954]
[0.397701,1.193103]
[0.755095,2.265285]
